alpha,Beta,CL,CDi,CDv,CD,CY,Cl,Cm,Cn,Cni,QInf,XCP,Cm_ref_c4,Cm_ref_ACfit,x_ACfit_frac_c,x_ACfit_m_desde_LE,c_ref_m
-2.0,0.0,0.002728,0.000713,0.023493,0.024206,0.0,0.0,-0.09781,0.0,0.0,23.0,51.5003,-0.09712799999999999,-0.09716892227112875,0.23499916747479607,0.35320374871461846,1.503
-1.75,0.0,0.030099,0.000666,0.02074,0.021406,0.0,0.0,-0.105573,0.0,0.0,23.0,5.387,-0.09804825,-0.09849976005817611,0.23499916747479607,0.35320374871461846,1.503
-1.5,0.0,0.057817,0.000635,0.018728,0.019363,0.0,0.0,-0.113254,0.0,0.0,23.0,3.0135,-0.09879974999999999,-0.09966705313410971,0.23499916747479607,0.35320374871461846,1.503
-1.25,0.0,0.084527,0.000621,0.017222,0.017844,0.0,0.0,-0.120446,0.0,0.0,23.0,2.1207,-0.09931424999999999,-0.10058222537085791,0.23499916747479607,0.35320374871461846,1.503
-1.0,0.0,0.11084,0.000643,0.016117,0.01676,0.0,-0.0,-0.127401,0.0,0.0,23.0,1.7873,-0.09969099999999999,-0.1013536922770936,0.23499916747479607,0.35320374871461846,1.503
-0.75,0.0,0.136002,0.000692,0.015049,0.015741,0.0,0.0,-0.133784,0.0,0.0,23.0,1.4269,-0.09978349999999998,-0.10182364322509277,0.23499916747479607,0.35320374871461846,1.503
-0.5,0.0,0.160208,0.000771,0.01421,0.014981,0.0,0.0,-0.139598,0.0,0.0,23.0,1.2345,-0.099546,-0.10194925337719787,0.23499916747479607,0.35320374871461846,1.503
-0.25,0.0,0.183365,0.000877,0.013381,0.014259,0.0,0.0,-0.144924,0.0,0.0,23.0,1.1683,-0.09908275,-0.10183337765598402,0.23499916747479607,0.35320374871461846,1.503
0.0,0.0,0.206662,0.001015,0.01274,0.013755,0.0,0.0,-0.150145,0.0,-0.0,23.0,1.0956,-0.0984795,-0.10157960205132369,0.23499916747479607,0.35320374871461846,1.503
0.25,0.0,0.23059,0.001202,0.012114,0.013316,0.0,0.0,-0.155688,0.0,-0.0,23.0,1.0267,-0.0980405,-0.10149954197198677,0.23499916747479607,0.35320374871461846,1.503
0.5,0.0,0.254618,0.001411,0.011651,0.013062,0.0,-0.0,-0.161282,0.0,-0.0,23.0,0.9606,-0.0976275,-0.10144698197590238,0.23499916747479607,0.35320374871461846,1.503
0.75,0.0,0.278204,0.001644,0.011182,0.012826,0.0,0.0,-0.166692,0.0,-0.0,23.0,0.9068,-0.097141,-0.10131429161184184,0.23499916747479607,0.35320374871461846,1.503
1.0,0.0,0.30183,0.001909,0.010829,0.012738,0.0,-0.0,-0.172152,0.0,-0.0,23.0,0.8608,-0.0966945,-0.10122220128108231,0.23499916747479607,0.35320374871461846,1.503
1.25,0.0,0.325591,0.002195,0.010485,0.01268,0.0,-0.0,-0.177658,0.0,-0.0,23.0,0.8217,-0.09626025,-0.10114438606271368,0.23499916747479607,0.35320374871461846,1.503
1.5,0.0,0.349015,0.002503,0.010231,0.012734,0.0,-0.0,-0.183019,0.0,0.0,23.0,0.7891,-0.09576524999999998,-0.10100076556378403,0.23499916747479607,0.35320374871461846,1.503
1.75,0.0,0.372856,0.002836,0.009983,0.012819,0.0,-0.0,-0.188551,0.0,-0.0,23.0,0.76,-0.09533699999999999,-0.10093015041201743,0.23499916747479607,0.35320374871461846,1.503
2.0,0.0,0.396216,0.00319,0.009825,0.013016,0.0,-0.0,-0.193896,0.0,-0.0,23.0,0.7353,-0.09484200000000001,-0.1007855698598062,0.23499916747479607,0.35320374871461846,1.503
2.25,0.0,0.420361,0.003574,0.009691,0.013265,0.0,-0.0,-0.199597,0.0,0.0,23.0,0.7128,-0.09450675,-0.10081251496112725,0.23499916747479607,0.35320374871461846,1.503
2.5,0.0,0.443585,0.00398,0.009581,0.01356,0.0,-0.0,-0.204951,0.0,-0.0,23.0,0.693,-0.09405474999999999,-0.10070889429569257,0.23499916747479607,0.35320374871461846,1.503
2.75,0.0,0.467833,0.004416,0.009507,0.013922,0.0,-0.0,-0.210757,0.0,-0.0,23.0,0.6752,-0.09379875,-0.10081663448276373,0.23499916747479607,0.35320374871461846,1.503
3.0,0.0,0.491139,0.004872,0.00948,0.014352,0.0,0.0,-0.216231,0.0,-0.0,23.0,0.6594,-0.09344625000000001,-0.10081374388559614,0.23499916747479607,0.35320374871461846,1.503
3.25,0.0,0.514807,0.005348,0.009461,0.014809,0.0,-0.0,-0.221811,0.0,-0.0,23.0,0.6449,-0.09310925,-0.10083178358980266,0.23499916747479607,0.35320374871461846,1.503
3.5,0.0,0.5385,0.005853,0.009476,0.015329,0.0,-0.0,-0.22745,0.0,-0.0,23.0,0.6319,-0.09282500000000002,-0.10090294831482233,0.23499916747479607,0.35320374871461846,1.503
3.75,0.0,0.562059,0.006386,0.009512,0.015898,0.0,-0.0,-0.233085,0.0,-0.0,23.0,0.62,-0.09257024999999999,-0.10100160292828358,0.23499916747479607,0.35320374871461846,1.503
4.0,0.0,0.585638,0.006948,0.009569,0.016517,0.0,-0.0,-0.238743,0.0,-0.0,23.0,0.6091,-0.09233350000000001,-0.10111855755839538,0.23499916747479607,0.35320374871461846,1.503
4.25,0.0,0.608811,0.007519,0.009642,0.01716,0.0,-0.0,-0.24419,0.0,0.0,23.0,0.5988,-0.09198724999999999,-0.10111992185050192,0.23499916747479607,0.35320374871461846,1.503
