xflr5 v6.62

Plane name :, HAPS24_SD7032_recta_wash4
Polar name :, T1-23.0 m/s-VLM1-85.0kg-x0.4m
Freestream speed :, 23.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,  -0.012918,   0.000650,   0.023191,   0.023841,  -0.000000,   0.000000,  -0.102336,   0.000000,   0.000000,   23.0000,  -11.5610
   -1.750,     0.000,   0.010399,   0.000609,   0.020987,   0.021595,  -0.000000,   0.000000,  -0.102263,   0.000000,   0.000000,   23.0000,   15.1913
   -1.500,     0.000,   0.033716,   0.000590,   0.019602,   0.020192,  -0.000000,   0.000000,  -0.102192,   0.000000,  -0.000000,   23.0000,    4.9408
   -1.250,     0.000,   0.057034,   0.000595,   0.018451,   0.019047,  -0.000000,   0.000000,  -0.102122,   0.000000,  -0.000000,   23.0000,    3.0718
   -1.000,     0.000,   0.080350,   0.000623,   0.017414,   0.018037,  -0.000000,   0.000000,  -0.102053,   0.000000,   0.000000,   23.0000,    2.2876
   -0.750,     0.000,   0.103666,   0.000673,   0.016386,   0.017059,  -0.000000,   0.000000,  -0.101984,   0.000000,  -0.000000,   23.0000,    1.8561
   -0.500,     0.000,   0.126979,   0.000747,   0.015412,   0.016159,  -0.000000,   0.000000,  -0.101915,   0.000000,   0.000000,   23.0000,    1.5831
   -0.250,     0.000,   0.150289,   0.000843,   0.014541,   0.015384,  -0.000000,   0.000000,  -0.101847,   0.000000,  -0.000000,   23.0000,    1.3948
    0.000,     0.000,   0.173596,   0.000963,   0.013766,   0.014729,  -0.000000,   0.000000,  -0.101780,   0.000000,  -0.000000,   23.0000,    1.2570
    0.250,     0.000,   0.196898,   0.001105,   0.013084,   0.014189,  -0.000000,   0.000000,  -0.101713,   0.000000,   0.000000,   23.0000,    1.1519
    0.500,     0.000,   0.220194,   0.001270,   0.012493,   0.013764,  -0.000000,   0.000000,  -0.101646,   0.000000,   0.000000,   23.0000,    1.0690
    0.750,     0.000,   0.243485,   0.001458,   0.011970,   0.013428,  -0.000000,   0.000000,  -0.101580,   0.000000,  -0.000000,   23.0000,    1.0020
