T_total_N,N_motores,T_por_helice_N,rho_kg_m3,V_inf_TAS_m_s,eta_i (-),U1_disco_m_s,vi_inducida_m_s,A_disco_helice_m2,D_helice_m,D_helice_in,mdot_helice_kg_s,P_ideal_por_helice_W,P_util_por_helice_W,Caso,Escenario,Punto_T,D_21in_m,eta_i_implicita_21in (-),vi_implicita_21in_m_s
26.66325,2,13.33163,0.08803,23.0,0.8,28.75,5.75,0.45806,0.76369,30.06642,1.15927,383.28425,306.6274,Caso_1.1_24m_equinoccio,Constante_20km,crucero_20km_base,0.5334,0.69266,10.20525
26.66325,2,13.33163,0.08803,23.0,0.8,28.75,5.75,0.45806,0.76369,30.06642,1.15927,383.28425,306.6274,Caso_1.1_24m_equinoccio,Constante_20km,max_perfil_operativo,0.5334,0.69266,10.20525
26.66325,2,13.33163,0.08803,23.0,0.8,28.75,5.75,0.45806,0.76369,30.06642,1.15927,383.28425,306.6274,Caso_1.1_24m_equinoccio,DescensoNocturno_20a15km,crucero_20km_base,0.5334,0.69266,10.20525
30.78533,2,15.39266,0.08803,23.0,0.8,28.75,5.75,0.52887,0.8206,32.30703,1.33849,442.5391,354.03128,Caso_1.1_24m_equinoccio,DescensoNocturno_20a15km,max_perfil_operativo,0.5334,0.66899,11.38026
26.66325,2,13.33163,0.08803,23.0,0.8,28.75,5.75,0.45806,0.76369,30.06642,1.15927,383.28425,306.6274,Caso_1.2_24m_invierno,Constante_20km,crucero_20km_base,0.5334,0.69266,10.20525
26.66325,2,13.33163,0.08803,23.0,0.8,28.75,5.75,0.45806,0.76369,30.06642,1.15927,383.28425,306.6274,Caso_1.2_24m_invierno,Constante_20km,max_perfil_operativo,0.5334,0.69266,10.20525
26.66325,2,13.33163,0.08803,23.0,0.8,28.75,5.75,0.45806,0.76369,30.06642,1.15927,383.28425,306.6274,Caso_1.2_24m_invierno,DescensoNocturno_20a15km,crucero_20km_base,0.5334,0.69266,10.20525
32.06965,2,16.03483,0.08803,23.0,0.8,28.75,5.75,0.55094,0.83754,32.97405,1.39433,461.00123,368.80099,Caso_1.2_24m_invierno,DescensoNocturno_20a15km,max_perfil_operativo,0.5334,0.66217,11.73422
46.70682,2,23.35341,0.08803,23.0,0.8,28.75,5.75,0.80239,1.01076,39.7938,2.03073,671.41056,537.12845,Caso_2.1_32m_equinoccio,Constante_20km,crucero_20km_base,0.5334,0.59831,15.4417
46.70682,2,23.35341,0.08803,23.0,0.8,28.75,5.75,0.80239,1.01076,39.7938,2.03073,671.41056,537.12845,Caso_2.1_32m_equinoccio,Constante_20km,max_perfil_operativo,0.5334,0.59831,15.4417
46.70682,2,23.35341,0.08803,23.0,0.8,28.75,5.75,0.80239,1.01076,39.7938,2.03073,671.41056,537.12845,Caso_2.1_32m_equinoccio,DescensoNocturno_20a15km,crucero_20km_base,0.5334,0.59831,15.4417
53.98202,2,26.99101,0.08803,23.0,0.8,28.75,5.75,0.92738,1.08663,42.78088,2.34704,775.99147,620.79318,Caso_2.1_32m_equinoccio,DescensoNocturno_20a15km,max_perfil_operativo,0.5334,0.57348,17.10624
46.70682,2,23.35341,0.08803,23.0,0.8,28.75,5.75,0.80239,1.01076,39.7938,2.03073,671.41056,537.12845,Caso_2.2_32m_invierno,Constante_20km,crucero_20km_base,0.5334,0.59831,15.4417
46.70682,2,23.35341,0.08803,23.0,0.8,28.75,5.75,0.80239,1.01076,39.7938,2.03073,671.41056,537.12845,Caso_2.2_32m_invierno,Constante_20km,max_perfil_operativo,0.5334,0.59831,15.4417
46.70682,2,23.35341,0.08803,23.0,0.8,28.75,5.75,0.80239,1.01076,39.7938,2.03073,671.41056,537.12845,Caso_2.2_32m_invierno,DescensoNocturno_20a15km,crucero_20km_base,0.5334,0.59831,15.4417
56.24869,2,28.12435,0.08803,23.0,0.8,28.75,5.75,0.96632,1.10921,43.66982,2.4456,808.57497,646.85997,Caso_2.2_32m_invierno,DescensoNocturno_20a15km,max_perfil_operativo,0.5334,0.56643,17.60541
